datum,typ,vad_gjorde_jag,blockerare,nasta_steg,relaterat,anteckning_eller_lank
2026-09-14,Utveckling,"Arbetade med CORS och skydd av autentiserade sidor. Lade till CORS-hantering för projektets två lokala servrar samt proxy för skyddade sidor.","Behövde anpassa lösningen till Next.js och projektets två serverinstanser på port 3001 och 3002.","Testa CORS och proxy samt kontrollera build.","Task 11 / Issue #13","Tillåtna lokala origins är localhost:3001 och localhost:3002."
2026-09-15,Dokumentation och test,"Färdigställde API-dokumentation för backenddelen och gick igenom Task 11:s krav. Dokumenterade login, logout, /me, roller, JWT, rate limiting, CORS och shared API types. Körde tester och build.","Upptäckte överlappning mellan Task 11 och senare tasks och behövde rensa bort patientsökning som egentligen hör till Task 13.","Hålla Task 11-branchen ren och göra slutkontroll inför commit och PR.","Task 11 / Issue #13","Journaler och notes hör till Task 14 och access-loggning till Task 15."
2026-09-16,Testning och CI,"Gjorde slutkontroller av Task 11 med build, Playwright, ESLint och Prettier. Auth-testerna och Task 11-filerna blev gröna. Undersökte varför GitHub PR Validation / lint fortfarande misslyckades och konstaterade att CI även kör repo-wide format:check.","GitHub CI blockerade merge eftersom 69 befintliga filer i repot inte följde Prettier trots att ESLint och mina Task 11-filer var godkända.","Formattera repot separat så required lint-check kan bli grön och därefter få PR:n reviewad och mergad.","Task 11 / Issue #13; PR Validation","Build, test och typecheck var gröna. Lint-jobbet blockerades av repo-wide Prettier-kontrollen."
2026-09-17,Testning och avslut,"Färdigställde Task 11 – Backend API & Authentication. Gick igenom autentisering, JWT, roller, API-routes, validering, rate limiting, CORS och tester. Task 11 mergades därefter till main.","CI/PR-valideringen behövde kontrolleras innan merge.","Fortsätta med nästa tilldelade backenduppgift, Task 14 – Medical Notes.","Task 11 / Issue #13 / PR #23","Task 11 färdigställd och mergad till main."
2026-09-18,Utveckling,"Påbörjade arbetet med Task 14 – Medical Notes. Arbetade med backendstrukturen för medicinska anteckningar och hur visibility-reglerna skulle hanteras.","Behövde separera Medical Notes från funktionaliteten i Task 11 och anpassa implementationen till projektets befintliga auth och journalstruktur.","Fortsätta implementera notes-endpoints och visibility-regler.","Task 14 / Issue #16","Arbetet fortsatte på branchen feature/14-medical-notes."
2026-09-19,Utveckling,"Fortsatte utvecklingen av Medical Notes. Arbetade med create/read-kontrakt, visibility-nivåer och kopplingen mellan anteckningar, journalposter och användare.","Behövde säkerställa att olika användarroller får rätt synlighet för anteckningar.","Implementera och testa resterande notes-funktionalitet.","Task 14 / Issue #16","Visibility-reglerna omfattar private, healthcare och all."
2026-09-20,Testning och utveckling,"Färdigställde huvuddelen av backend för Medical Notes och arbetade med E2E-testning. Skapade även PR för Task 14 efter att ha gått igenom implementationen.","E2E-testerna behövde hantera testdata och säkerställa stabila resultat vid upprepade körningar.","Åtgärda eventuell feedback och få Task 14 redo för merge.","Task 14 / Issue #16 / PR #37","PR #37 skapades för Medical Notes och innehöll backend, visibility-hantering och E2E-testning."
2026-09-21,Testning och refaktorering,"Slutförde Task 14. Refaktorerade visibility-logiken till en separat notes-modul, uppdaterade seed-data och lade till E2E-täckning för note visibility med cleanup för stabila tester.","Behövde hålla visibility-logiken samlad och se till att testerna inte blev beroende av tidigare seed-körningar.","Slutföra review och merge av Task 14.","Task 14 / Issue #16 / PR #37","Task 14 mergades till main den 21 september."
2026-09-22,Utveckling och integration,"Arbetade vidare med projektets integration mellan backend, SQL och patientjournalen. Gick igenom patientdetaljer, journalinloggning och backend-auth samt kontrollerade flödet i browsern.","Behövde säkerställa att patientdetaljer, journal och autentisering fungerade tillsammans efter backendändringarna.","Påbörja Task 20 – Documentation & README.","Task 14; patientjournal; backend-auth","Integration och browser-testning inför nästa fas av projektet."
2026-09-23,Dokumentation,"Påbörjade Task 20 – Documentation & README. Gick igenom projektets befintliga dokumentation och uppdaterade README med projektbeskrivning, installation, två-server-demo, API endpoints, screenshots, felsökning, privacy boundary och requirements traceability. Uppdaterade även API-dokumentationen och skapade docs/database.md med databasstruktur, relationer, migrationer och seed-data.","Behövde gå igenom den befintliga dokumentationen och kontrollera vilka delar av Task 20 som redan fanns och vilka som saknades.","Fortsätta komplettera README och dokumentationen samt göra slutkontroll av Task 20.","Task 20","README.md, docs/api/README.md och docs/database.md uppdaterades. Dokumentationen är staged och redo för nästa steg."
2026-09-24,,,,,,
2026-09-25,,,,,,
2026-09-26,,,,,,
2026-09-27,,,,,,
2026-09-28,,,,,,
2026-09-29,,,,,,
2026-09-30,,,,,,
2026-10-01,,,,,,
2026-10-02,,,,,,
